"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next","Previous_evols"
"260","Swampert (Shadow)","Mudkip",TRUE,,89,42,89,,"0/14/14","0/14/13","15/15/15",,19,33.5,50,,1498,2497,3362,,"Mud Shot, Hydro Cannon, Earthquake","Mud Shot, Hydro Cannon, Earthquake","Mud Shot, Hydro Cannon[etm], Earthquake","258;259;260","260","258;259;260"
"261","Poochyena","Poochyena",FALSE,559,,,,"0/15/14",,,,30,,,,500,,,,"Snarl, Crunch, Poison Fang",,,,"261;262","261;262","261"
"261","Poochyena (Shadow)","Poochyena",TRUE,626,,,,"0/15/14",,,,30,,,,500,,,,"Snarl, Crunch, Poison Fang",,,,"261;262","261;262","261"
"262","Mightyena","Poochyena",FALSE,224,626,683,,"0/12/15","0/12/14","15/15/15",,10,30,50,,496,1491,2177,,"Ice Fang, Crunch, Poison Fang","Thunder Fang, Crunch, Poison Fang","Ice Fang, Crunch, Poison Fang",,"261;262","262","261;262"
"262","Mightyena (Shadow)","Poochyena",TRUE,121,591,669,,"0/12/15","0/12/14","15/15/15",,10,30,50,,496,1491,2177,,"Ice Fang, Crunch, Poison Fang","Thunder Fang, Crunch, Poison Fang","Ice Fang, Crunch, Poison Fang",,"261;262","262","261;262"
"263","Zigzagoon","Zigzagoon",FALSE,142,,,,"5/15/15",,,,50,,,,497,,,,"Sand Attack, Grass Knot, Thunderbolt",,,,"263;264;862","263;264;862","263"
"263&galar","Zigzagoon (Galarian)","Zigzagoon",FALSE,15,,,,"5/15/15",,,,50,,,,497,,,,"Tackle, Swift, Dig",,,,"263&galar;264&galar;862","264&galar","263&galar"
"263&galar","Zigzagoon (Galarian) (Shadow)","Zigzagoon",TRUE,55,,,,"5/15/15",,,,50,,,,497,,,,"Tackle, Swift, Dig",,,,"263&galar;264&galar;862","264&galar","263&galar"
"264","Linoone","Zigzagoon",FALSE,631,368,,,"1/15/15","0/15/14",,,11.5,40,,,497,1497,,,"Shadow Claw, Grass Knot, Dig","Shadow Claw, Grass Knot, Dig",,,"263;264;862","264;862","263;264"
"264&galar","Linoone (Galarian)","Zigzagoon",FALSE,409,571,,,"1/15/15","0/15/14",,,11.5,40,,,497,1497,,,"Snarl, Body Slam, Dig","Snarl, Body Slam, Dig",,,"263&galar;264&galar;862","862","263&galar;264&galar"
"264&galar","Linoone (Galarian) (Shadow)","Zigzagoon",TRUE,373,460,,,"1/15/15","0/15/14",,,11.5,40,,,497,1497,,,"Snarl, Body Slam, Dig","Snarl, Body Slam, Dig",,,"263&galar;264&galar;862","862","263&galar;264&galar"
"265","Wurmple","Wurmple",FALSE,582,,,,"1/15/15",,,,42,,,,499,,,,"Bug Bite, Struggle, NA",,,,"265;266;267","265;266;267","265"
"266","Silcoon","Wurmple",FALSE,460,,,,"2/15/15",,,,47,,,,500,,,,"Bug Bite, Struggle, NA",,,,"265;266;267","266;267","265;266"
"267","Beautifly","Wurmple",FALSE,705,963,,,"4/15/14","0/15/15",,,10.5,34,,,498,1500,,,"Infestation, Silver Wind, Bug Buzz","Infestation, Silver Wind, Bug Buzz",,,"265;266;267","267","265;266;267"
"268","Cascoon","Cascoon",FALSE,456,,,,"2/15/15",,,,47,,,,500,,,,"Bug Bite, Struggle, NA",,,,"265;268;269","268;269","265;268"
"269","Dustox","Cascoon",FALSE,298,691,,,"0/15/15","15/15/14",,,16.5,50,,,499,1384,,,"Confusion, Sludge Bomb, Silver Wind","Confusion, Sludge Bomb, Silver Wind",,,"265;268;269","269","265;268;269"
"27","Sandshrew","Sandshrew",FALSE,396,647,,,"0/11/11","15/15/15",,,16,50,,,499,1426,,,"Sand Attack, Rock Slide, Dig","Sand Attack, Dig, Rock Slide",,,"27;28","27;28","27"
"27","Sandshrew (Shadow)","Sandshrew",TRUE,494,633,,,"0/11/11","15/15/15",,,16,50,,,498,1426,,,"Sand Attack, Rock Slide, Dig","Sand Attack, Dig, Rock Slide",,,"27;28","27;28","27"
"27&alola","Sandshrew (Alolan)","Sandshrew",FALSE,,329,,,,"15/15/15",,,,50,,,,1462,,,,"Powder Snow, Night Slash, Blizzard",,,"27&alola;28&alola","28&alola","27&alola"
"27&alola","Sandshrew (Alolan) (Shadow)","Sandshrew",TRUE,,486,,,,"15/15/15",,,,50,,,,1462,,,,"Powder Snow, Night Slash, Blizzard",,,"27&alola;28&alola","28&alola","27&alola"
"270","Lotad","Lotad",FALSE,330,,,,"0/15/15",,,,41,,,,500,,,,"Water Gun, Scald, Energy Ball",,,,"270;271;272","270;271;272","270"
"271","Lombre","Lotad",FALSE,635,757,,,"1/14/15","15/15/14",,,16.5,50,,,497,1353,,,"Bubble, Scald, Ice Beam","Bubble, Scald, Grass Knot",,,"270;271;272","271;272","270;271"
"272","Ludicolo","Lotad",FALSE,659,461,298,502,"0/6/14","0/15/15","6/14/15","15/15/15",8.5,24.5,50,50,499,1497,2495,2626,"Bubble, Scald, Ice Beam","Bubble, Scald, Leaf Storm","Bubble, Scald, Leaf Storm","Bubble, Scald, Ice Beam","270;271;272","272","270;271;272"
"273","Seedot","Seedot",FALSE,347,,,,"0/15/15",,,,41,,,,500,,,,"Quick Attack, Grass Knot, Foul Play",,,,"273;274;275","273;274;275","273"
"273","Seedot (Shadow)","Seedot",TRUE,446,,,,"0/15/15",,,,41,,,,500,,,,"Quick Attack, Foul Play, Grass Knot",,,,"273;274;275","273;274;275","273"
"274","Nuzleaf","Seedot",FALSE,461,680,,,"0/15/12","15/15/15",,,16,50,,,499,1387,,,"Feint Attack, Leaf Blade, Foul Play","Feint Attack, Leaf Blade, Foul Play",,,"273;274;275","274;275","273;274"
"274","Nuzleaf (Shadow)","Seedot",TRUE,473,681,,,"0/15/12","15/15/15",,,16,50,,,499,1387,,,"Feint Attack, Leaf Blade, Foul Play","Feint Attack, Leaf Blade, Foul Play",,,"273;274;275","274;275","273;274"
"275","Shiftry","Seedot",FALSE,357,331,392,412,"4/15/15","0/14/11","6/15/15","15/15/15",8,24.5,49,50,496,1497,2490,2637,"Snarl, Leaf Blade, Foul Play","Snarl, Leaf Blade, Foul Play","Snarl, Leaf Blade, Foul Play","Snarl, Leaf Blade, Foul Play","273;274;275","275","273;274;275"
"275","Shiftry (Shadow)","Seedot",TRUE,324,304,346,371,"4/15/15","0/14/11","6/15/15","15/15/15",8,24.5,49,50,496,1497,2490,2637,"Snarl, Leaf Blade, Foul Play","Snarl, Leaf Blade, Foul Play","Snarl, Leaf Blade, Foul Play","Snarl, Leaf Blade, Foul Play","273;274;275","275","273;274;275"
"276","Taillow","Taillow",FALSE,283,,,,"0/15/11",,,,26.5,,,,496,,,,"Quick Attack, Aerial Ace, Return",,,,"276;277","276;277","276"
"276","Taillow (Shadow)","Taillow",TRUE,268,,,,"0/15/11",,,,26.5,,,,499,,,,"Quick Attack, Aerial Ace, Frustration",,,,"276;277","276;277","276"
"277","Swellow","Taillow",FALSE,499,665,,,"0/14/11","0/15/15",,,10,29.5,,,496,1496,,,"Wing Attack, Brave Bird, Aerial Ace","Wing Attack, Brave Bird, Aerial Ace",,,"276;277","277","276;277"
"277","Swellow (Shadow)","Taillow",TRUE,522,634,,,"0/14/11","0/15/15",,,10,29.5,,,496,1496,,,"Wing Attack, Brave Bird, Aerial Ace","Wing Attack, Brave Bird, Aerial Ace",,,"276;277","277","276;277"
"278","Wingull","Wingull",FALSE,679,,,,"0/15/11",,,,26.5,,,,499,,,,"Quick Attack, Ice Beam, Water Pulse",,,,"278;279","278;279","278"
"279","Pelipper","Wingull",FALSE,148,188,291,565,"1/15/13","0/12/15","15/15/14","15/15/15",9,27,50,50,500,1496,2404,2404,"Wing Attack, Weather Ball (Water), Hurricane","Wing Attack, Weather Ball (Water), Hurricane","Wing Attack, Weather Ball (Water), Hurricane","Wing Attack, Weather Ball (Water), Hurricane","278;279","279","278;279"
"28","Sandslash","Sandshrew",FALSE,281,351,165,393,"3/14/14","0/14/15","2/14/15","15/15/15",8,24,50,50,498,1493,2492,2684,"Sand Attack, Night Slash, Scorching Sands","Sand Attack, Night Slash, Scorching Sands","Sand Attack, Night Slash, Scorching Sands","Sand Attack, Night Slash[etm], Scorching Sands","27;28","28","27;28"
"28","Sandslash (Shadow)","Sandshrew",TRUE,271,214,141,387,"3/14/14","0/14/15","2/14/15","15/15/15",8,24,50,50,498,1493,2492,2684,"Sand Attack, Night Slash, Scorching Sands","Sand Attack, Night Slash, Scorching Sands","Sand Attack, Night Slash, Scorching Sands","Sand Attack, Night Slash[etm], Scorching Sands","27;28","28","27;28"
"28&alola","Sandslash (Alolan)","Sandshrew",FALSE,,23,37,244,,"0/14/14","0/14/15","15/15/15",,23.5,49,50,,1500,2499,2750,,"Powder Snow, Ice Punch, Drill Run","Shadow Claw, Ice Punch, Drill Run","Powder Snow, Ice Punch, Drill Run","27&alola;28&alola","28&alola","27&alola;28&alola"
"28&alola","Sandslash (Alolan) (Shadow)","Sandshrew",TRUE,,47,40,232,,"0/14/14","0/14/15","15/15/15",,23.5,49,50,,1500,2499,2750,,"Powder Snow, Ice Punch, Drill Run","Shadow Claw, Ice Punch, Drill Run","Powder Snow, Ice Punch, Drill Run","27&alola;28&alola","28&alola","27&alola;28&alola"
"282","Gardevoir","Ralts",FALSE,,502,443,157,,"0/15/15","0/12/15","15/15/15",,18,30.5,50,,1498,2500,3497,,"Charm, Triple Axel, Shadow Ball","Charm, Triple Axel, Shadow Ball","Charm, Triple Axel, Shadow Ball","280;281;282","282","280;281;282"
"282","Gardevoir (Shadow)","Ralts",TRUE,,342,402,133,,"0/15/15","0/12/15","15/15/15",,18,30.5,50,,1498,2500,3497,,"Charm, Triple Axel, Shadow Ball","Charm, Triple Axel, Shadow Ball","Charm, Triple Axel, Shadow Ball","280;281;282","282","280;281;282"
"283","Surskit","Surskit",FALSE,583,,,,"1/14/15",,,,25.5,,,,499,,,,"Bubble, Signal Beam, Aqua Jet",,,,"283;284","283;284","283"
"284","Masquerain","Surskit",FALSE,510,833,638,591,"0/12/14","0/15/14","9/15/15","15/15/15",8.5,25,50,50,498,1499,2497,2567,"Air Slash, Lunge, Air Cutter","Air Slash, Bubble Beam, Lunge","Infestation, Lunge, Air Cutter","Infestation, Lunge, Ominous Wind","283;284","284","283;284"
"285","Shroomish","Shroomish",FALSE,365,,,,"0/15/14",,,,26,,,,499,,,,"Bullet Seed, Grass Knot, Seed Bomb",,,,"285;286","285;286","285"
"286","Breloom","Shroomish",FALSE,238,678,481,343,"9/15/14","2/15/15","0/14/15","15/15/15",7,21,41,50,500,1493,2499,2971,"Force Palm, Dynamic Punch, Grass Knot","Force Palm, Dynamic Punch, Grass Knot","Force Palm, Dynamic Punch, Grass Knot","Force Palm, Dynamic Punch, Grass Knot[etm]","285;286","286","285;286"
"287","Slakoth","Slakoth",FALSE,726,,,,"0/15/15",,,,20,,,,498,,,,"Yawn, Body Slam, Night Slash",,,,"287;288;289","287;288;289","287"
"288","Vigoroth","Slakoth",FALSE,232,415,646,,"0/13/7","1/15/15","15/15/15",,10,29,50,,498,1499,2225,,"Counter, Body Slam, Rock Slide","Counter, Body Slam, Rock Slide","Counter, Body Slam, Rock Slide",,"287;288;289","288;289","287;288"
"289","Slaking","Slakoth",FALSE,727,1020,746,582,"0/13/13","0/14/15","0/11/15","15/15/15",4.5,12.5,21,50,500,1498,2500,5010,"Yawn, Body Slam, Earthquake","Yawn, Body Slam, Earthquake","Yawn, Body Slam, Earthquake","Yawn, Body Slam[etm], Earthquake","287;288;289","289","287;288;289"
"29","Nidoran Female","Nidoran-f",FALSE,85,,,,"0/14/13",,,,25.5,,,,496,,,,"Poison Sting, Body Slam, Poison Fang",,,,"29;30;31","29;30;31","29"
"29","Nidoran Female (Shadow)","Nidoran-f",TRUE,69,,,,"0/14/13",,,,25.5,,,,496,,,,"Poison Sting, Body Slam, Poison Fang",,,,"29;30;31","29;30;31","29"
"290","Nincada","Nincada",FALSE,125,,,,"0/15/15",,,,27,,,,498,,,,"Bug Bite, Night Slash, Aerial Ace",,,,"290;291","290;291","290"
"291","Ninjask","Nincada",FALSE,517,672,,,"2/15/15","0/12/15",,,9.5,29,,,498,1496,,,"Fury Cutter, Aerial Ace, Bug Buzz","Fury Cutter, Aerial Ace, Bug Buzz",,,"290;291","291","290;291"
"293","Whismur","Whismur",FALSE,455,,,,"0/15/13",,,,31,,,,498,,,,"Astonish, Stomp, Flamethrower",,,,"293;294;295","293;294;295","293"
"293","Whismur (Shadow)","Whismur",TRUE,474,,,,"0/15/13",,,,31,,,,498,,,,"Astonish, Stomp, Flamethrower",,,,"293;294;295","293;294;295","293"
"294","Loudred","Whismur",FALSE,444,908,,,"0/15/6","15/15/15",,,15,50,,,497,1500,,,"Bite, Stomp, Flamethrower","Bite, Stomp, Disarming Voice",,,"293;294;295","294;295","293;294"
"294","Loudred (Shadow)","Whismur",TRUE,321,889,,,"0/15/6","15/15/15",,,15,50,,,497,1500,,,"Bite, Stomp, Flamethrower","Bite, Stomp, Disarming Voice",,,"293;294;295","294;295","293;294"
"295","Exploud","Whismur",FALSE,614,630,427,506,"5/15/14","0/15/10","5/15/14","15/15/15",8,24.5,49.5,50,498,1494,2500,2654,"Astonish, Crunch, Disarming Voice","Astonish, Crunch, Disarming Voice","Astonish, Crunch, Disarming Voice","Astonish, Crunch, Disarming Voice","293;294;295","295","293;294;295"
"295","Exploud (Shadow)","Whismur",TRUE,606,646,414,480,"5/15/14","0/15/10","5/15/14","15/15/15",8,24.5,49.5,50,498,1494,2500,2654,"Astonish, Crunch, Disarming Voice","Astonish, Crunch, Disarming Voice","Astonish, Crunch, Disarming Voice","Astonish, Crunch, Disarming Voice","293;294;295","295","293;294;295"
"297","Hariyama","Makuhita",FALSE,,389,191,204,,"0/14/13","1/15/15","15/15/15",,20,36,50,,1492,2497,3198,,"Force Palm, Close Combat, Heavy Slam","Force Palm, Close Combat, Heavy Slam","Force Palm, Close Combat, Heavy Slam","296;297","297","296;297"
"297","Hariyama (Shadow)","Makuhita",TRUE,,421,277,171,,"0/14/13","1/15/15","15/15/15",,20,36,50,,1492,2497,3198,,"Force Palm, Close Combat, Heavy Slam","Force Palm, Close Combat, Heavy Slam","Force Palm, Close Combat, Superpower","296;297","297","296;297"
"298","Azurill","Marill",FALSE,127,,,,"15/15/15",,,,50,,,,411,,,,"Bubble, Body Slam, Ice Beam",,,,"183;184;298","298","298"
"299","Nosepass","Nosepass",FALSE,,939,,,,"15/15/15",,,,50,,,,1123,,,,"Rock Throw, Rock Slide, Rock Blast",,,"299;476","299;476","299"
"299","Nosepass (Shadow)","Nosepass",TRUE,,946,,,,"15/15/15",,,,50,,,,1123,,,,"Rock Throw, Rock Slide, Rock Blast",,,"299;476","299;476","299"
"3","Venusaur","Bulbasaur",FALSE,424,138,91,212,"3/15/14","0/14/11","1/15/14","15/15/15",7,21,39,50,497,1496,2499,3075,"Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","1;2;3","3","1;2;3"
"3","Venusaur (Shadow)","Bulbasaur",TRUE,,174,90,222,,"0/14/11","1/15/14","15/15/15",,21,39,50,,1496,2499,3075,,"Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","1;2;3","3","1;2;3"
"30","Nidorina","Nidoran-f",FALSE,122,119,,,"1/15/14","15/15/15",,,15,50,,,499,1480,,,"Poison Sting, Poison Fang, Sludge Bomb","Poison Sting, Poison Fang, Thunderbolt",,,"29;30;31","30;31","29;30"
"30","Nidorina (Shadow)","Nidoran-f",TRUE,176,175,,,"1/15/14","15/15/15",,,15,50,,,499,1480,,,"Poison Sting, Poison Fang, Sludge Bomb","Poison Sting, Poison Fang, Dig",,,"29;30;31","30;31","29;30"
"300","Skitty","Skitty",FALSE,411,,,,"0/15/13",,,,28,,,,500,,,,"Tackle, Wild Charge, Disarming Voice",,,,"300;301","300;301","300"
"301","Delcatty","Skitty",FALSE,660,624,,,"0/15/15","0/15/15",,,13,49,,,496,1496,,,"Feint Attack, Wild Charge, Disarming Voice","Charm, Wild Charge, Disarming Voice",,,"300;301","301","300;301"
"302","Sableye","Sableye",FALSE,243,144,,,"2/14/15","3/14/15",,,13,48,,,499,1499,,,"Shadow Claw, Foul Play, Power Gem","Shadow Claw, Foul Play, Return",,,"302","302","302"
"302","Sableye (Shadow)","Sableye",TRUE,310,94,,,"2/14/15","3/14/15",,,13,48,,,499,1499,,,"Shadow Claw, Foul Play, Power Gem","Shadow Claw, Foul Play, Power Gem",,,"302","302","302"
"303","Mawile","Mawile",FALSE,,267,,,,"1/15/15",,,,40,,,,1500,,,,"Fairy Wind, Iron Head, Play Rough",,,"303","303","303"
"303","Mawile (Shadow)","Mawile",TRUE,,319,,,,"1/15/15",,,,40,,,,1500,,,,"Fairy Wind, Iron Head, Play Rough",,,"303","303","303"
"304","Aron","Aron",FALSE,,884,,,,"15/15/15",,,,50,,,,1478,,,,"Metal Claw, Body Slam, Iron Head",,,"304;305;306","304;305;306","304"
"304","Aron (Shadow)","Aron",TRUE,,804,,,,"15/15/15",,,,50,,,,1478,,,,"Metal Claw, Body Slam, Iron Head",,,"304;305;306","304;305;306","304"
"305","Lairon","Aron",FALSE,,674,590,609,,"0/14/15","15/15/14","15/15/15",,28,50,50,,1500,2324,2324,,"Metal Claw, Rock Slide, Body Slam","Metal Claw, Rock Slide, Body Slam","Metal Claw, Rock Slide, Body Slam","304;305;306","305;306","304;305"
"305","Lairon (Shadow)","Aron",TRUE,,570,577,583,,"0/14/15","15/15/14","15/15/15",,28,50,50,,1500,2324,2324,,"Metal Claw, Rock Slide, Body Slam","Metal Claw, Rock Slide, Body Slam","Metal Claw, Rock Slide, Body Slam","304;305;306","305;306","304;305"
"306","Aggron","Aron",FALSE,,781,419,293,,"0/14/12","0/13/15","15/15/15",,19,33,50,,1492,2495,3391,,"Smack Down, Meteor Beam, Thunder","Dragon Tail, Meteor Beam, Heavy Slam","Dragon Tail, Meteor Beam, Stone Edge","304;305;306","306","304;305;306"
"306","Aggron (Shadow)","Aron",TRUE,,716,522,328,,"0/14/12","0/13/15","15/15/15",,19,33,50,,1492,2495,3391,,"Smack Down, Meteor Beam, Thunder","Dragon Tail, Meteor Beam, Heavy Slam","Dragon Tail, Meteor Beam, Stone Edge","304;305;306","306","304;305;306"
"308","Medicham","Meditite",FALSE,,157,,,,"5/15/14",,,,50,,,,1500,,,,"Counter, Ice Punch, Dynamic Punch",,,"307;308","308","307;308"
"309","Electrike","Electrike",FALSE,414,,,,"0/14/14",,,,20.5,,,,496,,,,"Quick Attack, Swift, Discharge",,,,"309;310","309;310","309"
"309","Electrike (Shadow)","Electrike",TRUE,355,,,,"0/14/14",,,,20.5,,,,497,,,,"Quick Attack, Swift, Discharge",,,,"309;310","309;310","309"
"31","Nidoqueen","Nidoran-f",FALSE,174,201,50,288,"0/12/4","0/15/12","0/14/15","15/15/15",8,23,47,50,500,1499,2500,2812,"Poison Jab, Poison Fang, Earth Power","Poison Jab, Earth Power, Poison Fang","Poison Jab, Poison Fang, Earth Power","Poison Jab, Earth Power, Poison Fang","29;30;31","31","29;30;31"
"31","Nidoqueen (Shadow)","Nidoran-f",TRUE,,216,58,282,,"0/15/12","0/14/15","15/15/15",,23,47,50,,1499,2500,2812,,"Poison Jab, Earth Power, Poison Fang","Poison Jab, Poison Fang, Earth Power","Poison Jab, Earth Power, Poison Fang","29;30;31","31","29;30;31"
"310","Manectric","Electrike",FALSE,643,435,434,559,"3/15/15","0/15/15","3/15/15","15/15/15",8,24,49.5,50,496,1494,2488,2646,"Snarl, Wild Charge, Psychic Fangs","Thunder Fang, Psychic Fangs, Wild Charge","Snarl, Wild Charge, Psychic Fangs","Snarl, Wild Charge, Psychic Fangs","309;310","310","309;310"
"310","Manectric (Shadow)","Electrike",TRUE,648,698,473,523,"3/15/15","0/15/15","3/15/15","15/15/15",8,24,49.5,50,496,1494,2488,2646,"Snarl, Wild Charge, Psychic Fangs","Snarl, Wild Charge, Psychic Fangs","Snarl, Wild Charge, Psychic Fangs","Snarl, Wild Charge, Psychic Fangs","309;310","310","309;310"
"311","Plusle","Plusle",FALSE,418,801,,,"0/14/8","0/15/14",,,11,34.5,,,500,1499,,,"Quick Attack, Swift, Discharge","Quick Attack, Thunderbolt, Grass Knot",,,"311","311","311"
"312","Minun","Minun",FALSE,299,572,,,"0/12/15","0/15/14",,,11.5,38.5,,,498,1493,,,"Quick Attack, Swift, Discharge","Quick Attack, Thunderbolt, Grass Knot",,,"312","312","312"
"313","Volbeat","Volbeat",FALSE,689,916,740,,"0/13/14","0/15/15","15/15/15",,11,35.5,50,,497,1494,2002,,"Tackle, Bug Buzz, Signal Beam","Tackle, Thunderbolt, Bug Buzz","Tackle, Bug Buzz, Thunderbolt",,"313","313","313"
"314","Illumise","Illumise",FALSE,661,800,739,,"0/13/14","0/15/15","15/15/15",,11,35.5,50,,497,1494,2002,,"Tackle, Silver Wind, Bug Buzz","Tackle, Silver Wind, Bug Buzz","Tackle, Silver Wind, Dazzling Gleam",,"314","314","314"
"315","Roselia","Roselia",FALSE,586,915,,,"2/15/15","0/13/15",,,10,31,,,499,1497,,,"Poison Jab, Sludge Bomb, Petal Blizzard","Poison Jab, Sludge Bomb, Petal Blizzard",,,"315;406;407","315;406;407","406;315"
"316","Gulpin","Gulpin",FALSE,548,,,,"0/15/15",,,,24,,,,499,,,,"Rock Smash, Ice Beam, Sludge",,,,"316;317","316;317","316"
"317","Swalot","Gulpin",FALSE,366,263,411,585,"0/14/7","0/15/13","15/15/15","15/15/15",10,29.5,50,50,500,1500,2236,2236,"Mud Shot, Ice Beam, Sludge Bomb","Mud Shot, Sludge Bomb, Ice Beam","Mud Shot, Sludge Bomb, Ice Beam","Mud Shot, Ice Beam, Sludge Bomb","316;317","317","316;317"
"318","Carvanha","Carvanha",FALSE,719,,,,"1/15/15",,,,18.5,,,,499,,,,"Snarl, Crunch, Poison Fang",,,,"318;319","318;319","318"
"318","Carvanha (Shadow)","Carvanha",TRUE,722,,,,"1/15/15",,,,18.5,,,,499,,,,"Snarl, Crunch, Poison Fang",,,,"318;319","318;319","318"
"319","Sharpedo","Carvanha",FALSE,317,764,630,,"4/15/14","0/15/15","15/15/15",,8.5,25.5,50,,499,1493,2466,,"Waterfall, Crunch, Poison Fang","Waterfall, Crunch, Poison Fang","Waterfall, Crunch, Poison Fang",,"318;319","319","318;319"
"319","Sharpedo (Shadow)","Carvanha",TRUE,206,,615,,"4/15/14",,"15/15/15",,8.5,,50,,499,,2466,,"Waterfall, Crunch, Poison Fang",,"Waterfall, Crunch, Poison Fang",,"318;319","319","318;319"
"32","Nidoran Male","Nidoran-m",FALSE,204,,,,"0/14/13",,,,23.5,,,,495,,,,"Poison Sting, Body Slam, Sludge Bomb",,,,"32;33;34","32;33;34","32"
"32","Nidoran Male (Shadow)","Nidoran-m",TRUE,165,,,,"0/14/13",,,,23.5,,,,495,,,,"Poison Sting, Body Slam, Sludge Bomb",,,,"32;33;34","32;33;34","32"
"320","Wailmer","Wailmer",FALSE,,306,,,,"0/15/15",,,,50,,,,1500,,,,"Water Gun, Scald, Body Slam",,,"320;321","320;321","320"
"320","Wailmer (Shadow)","Wailmer",TRUE,,269,,,,"0/15/15",,,,50,,,,1500,,,,"Water Gun, Scald, Body Slam",,,"320;321","320;321","320"
"321","Wailord","Wailmer",FALSE,,551,466,532,,"0/15/14","9/15/15","15/15/15",,25,50,50,,1500,2499,2577,,"Water Gun, Surf, Scald","Water Gun, Scald, Blizzard","Water Gun, Surf, Blizzard","320;321","321","320;321"
"321","Wailord (Shadow)","Wailmer",TRUE,,562,558,548,,"0/15/14","9/15/15","15/15/15",,25,50,50,,1500,2499,2577,,"Water Gun, Surf, Scald","Water Gun, Scald, Blizzard","Water Gun, Surf, Blizzard","320;321","321","320;321"
"322","Numel","Numel",FALSE,147,,,,"1/15/14",,,,18.5,,,,500,,,,"Ember, Stomp, Bulldoze",,,,"322;323","322;323","322"
"322","Numel (Shadow)","Numel",TRUE,40,,,,"1/15/14",,,,18.5,,,,500,,,,"Ember, Stomp, Bulldoze",,,,"322;323","322;323","322"
"323","Camerupt","Numel",FALSE,202,655,272,,"4/15/14","0/14/13","15/15/15",,8.5,26,50,,500,1499,2479,,"Incinerate, Overheat, Earth Power","Incinerate, Earth Power, Overheat","Incinerate, Earth Power, Overheat",,"322;323","323","322;323"
"323","Camerupt (Shadow)","Numel",TRUE,94,636,367,,"4/15/14","0/14/13","15/15/15",,8.5,26,50,,500,1499,2479,,"Incinerate, Overheat, Earth Power","Incinerate, Earth Power, Overheat","Incinerate, Earth Power, Overheat",,"322;323","323","322;323"
"324","Torkoal","Torkoal",FALSE,,479,377,562,,"0/15/15","15/15/15","15/15/15",,27.5,50,50,,1491,2366,2366,,"Fire Spin, Overheat, Earthquake","Fire Spin, Overheat, Earthquake","Fire Spin, Overheat, Earthquake","324","324","324"
"325","Spoink","Spoink",FALSE,,1014,,,,"15/15/15",,,,49.5,,,,1495,,,,"Zen Headbutt, Shadow Ball, Return",,,"325;326","325;326","325"
"325","Spoink (Shadow)","Spoink",TRUE,,1012,,,,"15/15/15",,,,49.5,,,,1495,,,,"Zen Headbutt, Shadow Ball, Mirror Coat",,,"325;326","325;326","325"
"326","Grumpig","Spoink",FALSE,,962,628,625,,"1/14/15","3/14/15","15/15/15",,24,50,50,,1498,2493,2679,,"Extrasensory, Shadow Ball, Psychic","Extrasensory, Shadow Ball, Psychic","Extrasensory, Shadow Ball, Psychic","325;326","326","325;326"
"326","Grumpig (Shadow)","Spoink",TRUE,,982,663,627,,"1/14/15","3/14/15","15/15/15",,24,50,50,,1498,2493,2679,,"Extrasensory, Shadow Ball, Psychic","Extrasensory, Shadow Ball, Psychic","Extrasensory, Shadow Ball, Psychic","325;326","326","325;326"
"327","Spinda","Spinda",FALSE,126,262,,,"0/12/13","15/15/14",,,16.5,50,,,500,1380,,,"Sucker Punch, Icy Wind, Dig","Sucker Punch, Icy Wind, Dig",,,"327","327","327"
"328","Trapinch","Trapinch",FALSE,672,860,,,"0/15/14","15/15/15",,,15,50,,,500,1441,,,"Sand Attack, Crunch, Scorching Sands","Sand Attack, Scorching Sands, Crunch",,,"328;329;330","328;329;330","328"
"328","Trapinch (Shadow)","Trapinch",TRUE,676,867,,,"0/15/14","15/15/15",,,15,50,,,500,1441,,,"Sand Attack, Crunch, Scorching Sands","Sand Attack, Scorching Sands, Crunch",,,"328;329;330","328;329;330","328"
"329","Vibrava","Trapinch",FALSE,181,610,,,"0/15/13","15/15/15",,,16,50,,,498,1384,,,"Dragon Breath, Scorching Sands, Bug Buzz","Dragon Breath, Sand Tomb, Bug Buzz",,,"328;329;330","329;330","328;329"
"329","Vibrava (Shadow)","Trapinch",TRUE,56,550,,,"0/15/13","15/15/15",,,16,50,,,498,1384,,,"Dragon Breath, Scorching Sands, Bug Buzz","Dragon Breath, Sand Tomb, Bug Buzz",,,"328;329;330","329;330","328;329"
"33","Nidorino","Nidoran-m",FALSE,435,512,,,"0/14/15","8/15/15",,,14,49.5,,,495,1500,,,"Poison Sting, Ice Beam, Sludge Bomb","Poison Sting, Sludge Bomb, Dig",,,"32;33;34","33;34","32;33"
